user_id,t,timestamp,solving_id,question_id,part,tags,user_answer,elapsed_time,correct,reward,last_correct,recent_accuracy_3
u10055,0,1527835503104,1,q8098,1,5;2;182,b,18000,1,1,0,0.0
u10055,1,1527835524788,2,q8074,1,11;7;183,b,19000,0,0,1,0.0
u10055,2,1527835552357,3,q176,1,6;7;183,c,26000,0,0,0,0.3333333333333333
u10055,3,1527835570878,4,q1279,2,24;26;182;184,c,16000,1,1,0,0.3333333333333333
u10055,4,1527835651474,5,q2067,3,52;183;184,c,26000,0,0,1,0.3333333333333333
u10055,5,1527835651477,5,q2069,3,179;52;183;184,d,26000,1,1,0,0.6666666666666666
u10055,6,1527835651478,5,q2068,3,55;183;184,b,26000,0,0,1,0.3333333333333333
u10055,7,1527835719058,6,q3413,4,64;52;184,b,21667,0,0,0,0.3333333333333333
u10055,8,1527835719064,6,q3412,4,64;52;184,b,21667,0,0,0,0.0
u10055,9,1527835719068,6,q3411,4,64;53;184,c,21667,1,1,0,0.3333333333333333
u10055,10,1527835778920,7,q2993,4,59;52;183,a,19000,0,0,1,0.3333333333333333
u10055,11,1527835778920,7,q2992,4,59;53;183,b,19000,0,0,0,0.3333333333333333
u10055,12,1527835779531,7,q2991,4,59;52;183,a,19000,0,0,0,0.0
u10055,13,1527835849375,8,q2628,4,64;52;185,c,22333,1,1,0,0.3333333333333333
u10055,14,1527835849397,8,q2629,4,64;57;185,c,22333,0,0,1,0.3333333333333333
u10055,15,1527835849397,8,q2630,4,64;54;185,a,22333,0,0,0,0.3333333333333333
u10055,16,1527835871272,9,q4555,5,130,b,20000,0,0,0,0.0
u10055,17,1527835887574,10,q4178,5,75,c,14000,0,0,0,0.0
u10055,18,1527835900521,11,q4761,5,96,b,11000,1,1,0,0.3333333333333333
u10055,19,1527835920468,12,q6185,5,145,b,18000,0,0,1,0.3333333333333333
u10055,20,1527835957935,13,q6243,5,100,a,35000,0,0,0,0.3333333333333333
u10055,21,1527835982304,14,q6442,5,71,c,22000,0,0,0,0.0
u10055,22,1527836197429,15,q6984,6,143,b,53000,0,0,0,0.0
u10055,23,1527836197439,15,q6983,6,112,c,53000,1,1,0,0.3333333333333333
u10055,24,1527836197448,15,q6982,6,80,b,53000,1,1,1,0.6666666666666666
u10055,25,1527836197510,15,q6981,6,76,a,53000,0,0,1,0.6666666666666666
u10055,26,1527836451582,16,q7335,7,152;149;177,b,62500,0,0,0,0.3333333333333333
u10055,27,1527836451587,16,q7338,7,152;169;177,c,62500,0,0,0,0.0
u10055,28,1527836451593,16,q7336,7,152;153;177,d,62500,1,1,0,0.3333333333333333
u10055,29,1527836451619,16,q7337,7,152;156;177,b,62500,0,0,1,0.3333333333333333
u10055,30,1527918022903,17,q4474,5,110,b,35000,1,1,0,0.6666666666666666
u10055,31,1527918166170,18,q6146,5,85,d,18000,1,1,1,0.6666666666666666
u10055,32,1527920610731,19,q4167,5,81,a,69000,0,0,1,0.6666666666666666
u10055,33,1527920679151,20,q9940,5,77,b,29000,0,0,0,0.3333333333333333
u10055,34,1527920759987,21,q5694,5,123,b,26000,0,0,0,0.0
u10055,35,1527920855074,22,q6087,5,87,a,25000,1,1,0,0.3333333333333333
u10055,36,1527920895693,23,q5858,5,80,d,34000,1,1,1,0.6666666666666666
u10055,37,1527920947679,24,q4610,5,133,b,19000,1,1,1,1.0
u10055,38,1527920971704,25,q5635,5,93,d,16000,1,1,1,1.0
u10055,39,1527921021291,26,q4345,5,98,c,14000,0,0,1,0.6666666666666666
u10055,40,1527973754595,27,q4096,5,99,d,25000,1,1,0,0.6666666666666666
u10055,41,1527973914041,28,q8619,5,77,d,26000,0,0,1,0.3333333333333333
u10055,42,1527974045704,29,q5667,5,124,b,14000,1,1,0,0.6666666666666666
u10055,43,1527974087115,30,q5387,5,71,a,11000,1,1,1,0.6666666666666666
u10055,44,1527974132988,31,q6514,5,116,a,19000,1,1,1,1.0
u10055,45,1527974258035,32,q10117,5,77,a,36000,0,0,1,0.6666666666666666
u10055,46,1527974341341,33,q4563,5,129,d,25000,0,0,0,0.3333333333333333
u10055,47,1527974458593,34,q5873,5,74,a,13000,0,0,0,0.0
u10055,48,1527974581569,35,q5769,5,89,a,27000,1,1,0,0.3333333333333333
u10055,49,1527974629546,36,q10219,5,76,b,24000,1,1,1,0.6666666666666666
u10055,50,1527974883779,37,q322,2,30;31;32;185;181,b,25000,1,1,1,1.0
u10055,51,1527975058476,38,q992,2,179;24;48;183;184,c,17000,1,1,1,1.0
u10055,52,1527975348965,39,q482,2,179;46;47;183;181,c,18000,0,0,1,0.6666666666666666
u10055,53,1527975487494,40,q11261,2,30;44;49;184;181,c,19000,0,0,0,0.3333333333333333
u10055,54,1527989095334,41,q647,2,27;46;47;183;182,b,21000,0,0,0,0.0
u10055,55,1527989129168,42,q482,2,179;46;47;183;181,b,0,1,1,0,0.3333333333333333
u10055,56,1527989151660,43,q647,2,27;46;47;183;182,c,14000,1,1,1,0.6666666666666666
u10055,57,1527989327399,44,q963,2,24;40;183;182,c,14000,1,1,1,1.0
u10055,58,1527989407215,45,q981,2,36;37;183;184,c,19000,1,1,1,1.0
u10055,59,1527989515650,46,q11262,2,30;44;49;183;182,a,19000,1,1,1,1.0
u10055,60,1527989650592,47,q813,2,31;32;181;184,c,17000,0,0,1,0.6666666666666666
u10055,61,1527989814766,48,q512,2,179;24;33;183;181,c,16000,1,1,0,0.6666666666666666
u10055,62,1527994575077,49,q490,2,30;34;42;182;181,b,19000,1,1,1,0.6666666666666666
u10055,63,1527997787188,50,q3711,5,78,c,21000,0,0,1,0.6666666666666666
u10055,64,1527997907242,51,q6210,5,121,a,32000,1,1,0,0.6666666666666666
u10055,65,1527997972213,52,q6494,5,113,c,26000,1,1,1,0.6666666666666666
u10055,66,1527998063458,53,q10145,5,85,b,24000,1,1,1,1.0
u10055,67,1527998156830,54,q5658,5,87,c,20000,1,1,1,1.0
u10055,68,1527998791329,55,q5650,5,128,d,10000,1,1,1,1.0
u10055,69,1527998857675,56,q5849,5,104,b,11000,1,1,1,1.0
u10055,70,1527998903855,57,q8970,5,78,c,16000,0,0,1,0.6666666666666666
u10055,71,1527998951654,58,q4498,5,117,c,16000,1,1,0,0.6666666666666666
u10055,72,1527999013722,59,q4533,5,125,c,20000,1,1,1,0.6666666666666666
u10055,73,1527999161872,60,q4505,5,75,d,12000,1,1,1,1.0
u10055,74,1527999236426,61,q9393,5,120,b,27000,1,1,1,1.0
u10055,75,1527999311223,62,q6502,5,113,c,23000,0,0,1,0.6666666666666666
u10055,76,1527999404344,63,q5219,5,123,a,21000,0,0,0,0.3333333333333333
u10055,77,1527999686609,64,q5694,5,123,a,15000,1,1,0,0.3333333333333333
u10055,78,1527999777312,65,q5219,5,123,b,14000,1,1,1,0.6666666666666666
